{'DAT': '49875071', 'x': '-0.1723913103', 'y': '3.4119112492', 'z': '-9.6323642731'}
{'DAT': '49875072', 'x': '-0.1915459037', 'y': '3.4190943241', 'z': '-9.6156044006'}
{'DAT': '49875073', 'x': '-0.1891515702', 'y': '3.3927567005', 'z': '-9.6419420242'}
{'DAT': '49875074', 'x': '-0.1819685996', 'y': '3.3664190769', 'z': '-9.6754617691'}
{'DAT': '49875075', 'x': '-0.1843629181', 'y': '3.3855736256', 'z': '-9.6323642731'}
{'DAT': '49875076', 'x': '-0.1652083397', 'y': '3.3783907890', 'z': '-9.5964498520'}
{'DAT': '49875077', 'x': '-0.1819685996', 'y': '3.3664190769', 'z': '-9.6156044006'}
{'DAT': '49875078', 'x': '-0.2035175115', 'y': '3.3688135147', 'z': '-9.6443357468'}
{'DAT': '49875079', 'x': '-0.1891515702', 'y': '3.3520531654', 'z': '-9.6395473480'}
{'DAT': '49875080', 'x': '-0.2035175115', 'y': '3.3712077141', 'z': '-9.5796890259'}
{'DAT': '49875081', 'x': '-0.1987288743', 'y': '3.4047284126', 'z': '-9.5389852524'}
{'DAT': '49875082', 'x': '-0.1699969769', 'y': '3.3951508999', 'z': '-9.5844774246'}
{'DAT': '49875083', 'x': '-0.1747856289', 'y': '3.3592362404', 'z': '-9.6012382507'}
{'DAT': '49875084', 'x': '-0.1699969769', 'y': '3.3927567005', 'z': '-9.6347589493'}
{'DAT': '49875085', 'x': '-0.1723913103', 'y': '3.3975453377', 'z': '-9.6634902954'}
{'DAT': '49875086', 'x': '-0.2035175115', 'y': '3.3664190769', 'z': '-9.6203927994'}
{'DAT': '49875087', 'x': '-0.2178834528', 'y': '3.3688135147', 'z': '-9.6084213257'}
{'DAT': '49875088', 'x': '-0.2178834528', 'y': '3.3616304398', 'z': '-9.6443357468'}
{'DAT': '49875089', 'x': '-0.2202777863', 'y': '3.3640248775', 'z': '-9.6730680466'}
{'DAT': '49875090', 'x': '-0.2107004821', 'y': '3.3688135147', 'z': '-9.6706733704'}
{'DAT': '49875091', 'x': '-0.1939402223', 'y': '3.3783907890', 'z': '-9.6132097244'}
{'DAT': '49875092', 'x': '-0.1771799475', 'y': '3.3879680634', 'z': '-9.5725059509'}
{'DAT': '49875093', 'x': '-0.1915459037', 'y': '3.3664190769', 'z': '-9.6251811981'}
{'DAT': '49875094', 'x': '-0.2226721048', 'y': '3.3640248775', 'z': '-9.6946163177'}
{'DAT': '49875095', 'x': '-0.2226721048', 'y': '3.4023339748', 'z': '-9.6587018967'}
{'DAT': '49875096', 'x': '-0.1867572516', 'y': '3.4119112492', 'z': '-9.5868721008'}
{'DAT': '49875097', 'x': '-0.1604196876', 'y': '3.4119112492', 'z': '-9.6371526718'}
{'DAT': '49875098', 'x': '-0.1771799475', 'y': '3.3927567005', 'z': '-9.7065887451'}
{'DAT': '49875099', 'x': '-0.2011231929', 'y': '3.3879680634', 'z': '-9.6084213257'}
{'DAT': '49875100', 'x': '-0.1987288743', 'y': '3.4262771606', 'z': '-9.5557460785'}
{'DAT': '49875101', 'x': '-0.1867572516', 'y': '3.4214885235', 'z': '-9.6299695969'}
{'DAT': '49875102', 'x': '-0.2083061635', 'y': '3.3712077141', 'z': '-9.6443357468'}
{'DAT': '49875103', 'x': '-0.2059118450', 'y': '3.3688135147', 'z': '-9.6850395203'}
{'DAT': '49875104', 'x': '-0.1723913103', 'y': '3.3855736256', 'z': '-9.6826448441'}
{'DAT': '49875105', 'x': '-0.1699969769', 'y': '3.3879680634', 'z': '-9.6467304230'}
{'DAT': '49875106', 'x': '-0.1819685996', 'y': '3.3759963512', 'z': '-9.6467304230'}
{'DAT': '49875107', 'x': '-0.2083061635', 'y': '3.3544476032', 'z': '-9.6467304230'}
{'DAT': '49875108', 'x': '-0.1963345408', 'y': '3.3520531654', 'z': '-9.6012382507'}
{'DAT': '49875109', 'x': '-0.1963345408', 'y': '3.3855736256', 'z': '-9.5892667770'}
{'DAT': '49875110', 'x': '-0.2250664234', 'y': '3.3903622627', 'z': '-9.6179981232'}
{'DAT': '49875111', 'x': '-0.2035175115', 'y': '3.3903622627', 'z': '-9.6156044006'}
{'DAT': '49875112', 'x': '-0.1819685996', 'y': '3.4119112492', 'z': '-9.6060266495'}
{'DAT': '49875113', 'x': '-0.1795742810', 'y': '3.3951508999', 'z': '-9.5820837021'}
{'DAT': '49875114', 'x': '-0.1867572516', 'y': '3.4047284126', 'z': '-9.5844774246'}
{'DAT': '49875115', 'x': '-0.2130948156', 'y': '3.3855736256', 'z': '-9.5844774246'}
{'DAT': '49875116', 'x': '-0.1963345408', 'y': '3.3831794262', 'z': '-9.5796890259'}
{'DAT': '49875117', 'x': '-0.1436594278', 'y': '3.4286715984', 'z': '-9.5844774246'}
{'DAT': '49875118', 'x': '-0.1436594278', 'y': '3.3975453377', 'z': '-9.5916604996'}
{'DAT': '49875119', 'x': '-0.1747856289', 'y': '3.3712077141', 'z': '-9.6179981232'}
{'DAT': '49875120', 'x': '-0.1819685996', 'y': '3.3807849884', 'z': '-9.6539134979'}
{'DAT': '49875121', 'x': '-0.1795742810', 'y': '3.3640248775', 'z': '-9.6419420242'}
{'DAT': '49875122', 'x': '-0.1891515702', 'y': '3.3520531654', 'z': '-9.6203927994'}
{'DAT': '49875123', 'x': '-0.1819685996', 'y': '3.3736021519', 'z': '-9.6730680466'}
{'DAT': '49875124', 'x': '-0.1604196876', 'y': '3.3855736256', 'z': '-9.6587018967'}
{'DAT': '49875125', 'x': '-0.1771799475', 'y': '3.3544476032', 'z': '-9.6179981232'}
{'DAT': '49875126', 'x': '-0.1819685996', 'y': '3.3616304398', 'z': '-9.6491241455'}
{'DAT': '49875127', 'x': '-0.1676026583', 'y': '3.3783907890', 'z': '-9.6706733704'}
{'DAT': '49875128', 'x': '-0.1556310356', 'y': '3.3544476032', 'z': '-9.6802511215'}
{'DAT': '49875129', 'x': '-0.1484480649', 'y': '3.3376872540', 'z': '-9.6922225952'}
{'DAT': '49875130', 'x': '-0.1676026583', 'y': '3.3568418026', 'z': '-9.6898279190'}
{'DAT': '49875131', 'x': '-0.1628140062', 'y': '3.3879680634', 'z': '-9.6587018967'}
{'DAT': '49875132', 'x': '-0.1891515702', 'y': '3.3879680634', 'z': '-9.6251811981'}
{'DAT': '49875133', 'x': '-0.2274607569', 'y': '3.3640248775', 'z': '-9.6347589493'}
{'DAT': '49875134', 'x': '-0.2130948156', 'y': '3.3759963512', 'z': '-9.6227865219'}
{'DAT': '49875135', 'x': '-0.1915459037', 'y': '3.3927567005', 'z': '-9.5916604996'}
{'DAT': '49875136', 'x': '-0.1412650943', 'y': '3.3568418026', 'z': '-9.5940551758'}
