{'DAT': '52540960', 'x': '-0.1723913103', 'y': '3.3544476032', 'z': '-9.6970109940'}
{'DAT': '52540961', 'x': '-0.1676026583', 'y': '3.3616304398', 'z': '-9.6634902954'}
{'DAT': '52540962', 'x': '-0.1436594278', 'y': '3.3783907890', 'z': '-9.6467304230'}
{'DAT': '52540963', 'x': '-0.1556310356', 'y': '3.3903622627', 'z': '-9.6658849716'}
{'DAT': '52540964', 'x': '-0.1556310356', 'y': '3.3831794262', 'z': '-9.6850395203'}
{'DAT': '52540965', 'x': '-0.1628140062', 'y': '3.3448703289', 'z': '-9.6156044006'}
{'DAT': '52540966', 'x': '-0.1867572516', 'y': '3.3520531654', 'z': '-9.6323642731'}
{'DAT': '52540967', 'x': '-0.1915459037', 'y': '3.3664190769', 'z': '-9.6634902954'}
{'DAT': '52540968', 'x': '-0.1819685996', 'y': '3.3736021519', 'z': '-9.6179981232'}
{'DAT': '52540969', 'x': '-0.1747856289', 'y': '3.3736021519', 'z': '-9.6706733704'}
{'DAT': '52540970', 'x': '-0.1963345408', 'y': '3.3616304398', 'z': '-9.7257432938'}
{'DAT': '52540971', 'x': '-0.1867572516', 'y': '3.3496589661', 'z': '-9.6778564453'}
{'DAT': '52540972', 'x': '-0.1771799475', 'y': '3.3424758911', 'z': '-9.6610965729'}
{'DAT': '52540973', 'x': '-0.2059118450', 'y': '3.3400814533', 'z': '-9.6754617691'}
{'DAT': '52540974', 'x': '-0.2059118450', 'y': '3.3472645283', 'z': '-9.6419420242'}
{'DAT': '52540975', 'x': '-0.1556310356', 'y': '3.3616304398', 'z': '-9.6132097244'}
{'DAT': '52540976', 'x': '-0.1412650943', 'y': '3.3400814533', 'z': '-9.6156044006'}
{'DAT': '52540977', 'x': '-0.1604196876', 'y': '3.3352928162', 'z': '-9.5916604996'}
{'DAT': '52540978', 'x': '-0.1771799475', 'y': '3.3305041790', 'z': '-9.6587018967'}
{'DAT': '52540979', 'x': '-0.2035175115', 'y': '3.3448703289', 'z': '-9.6994056702'}
{'DAT': '52540980', 'x': '-0.1891515702', 'y': '3.3831794262', 'z': '-9.6395473480'}
{'DAT': '52540981', 'x': '-0.1699969769', 'y': '3.3712077141', 'z': '-9.6587018967'}
{'DAT': '52540982', 'x': '-0.1915459037', 'y': '3.3592362404', 'z': '-9.6443357468'}
{'DAT': '52540983', 'x': '-0.2059118450', 'y': '3.3640248775', 'z': '-9.6299695969'}
{'DAT': '52540984', 'x': '-0.1915459037', 'y': '3.3688135147', 'z': '-9.6539134979'}
{'DAT': '52540985', 'x': '-0.1795742810', 'y': '3.3807849884', 'z': '-9.6491241455'}
{'DAT': '52540986', 'x': '-0.1676026583', 'y': '3.3688135147', 'z': '-9.6203927994'}
{'DAT': '52540987', 'x': '-0.1604196876', 'y': '3.3496589661', 'z': '-9.5820837021'}
